# sample field positions: (xan, yan) in degrees
-0.06784	-0.03653
-0.13072	-0.09842
-0.13003	0.02435
-0.0052	0.02475
-0.00522	-0.0981
-0.0678	0.10972
-0.13033	0.04902
-0.12943	0.16913
-0.00561	0.16964
-0.00565	0.04944
-0.06769	0.24053
-0.12979	0.18118
-0.12872	0.29835
-0.00601	0.29895
-0.00606	0.1817
-0.2034	-0.0636
-0.26624	-0.12585
-0.26492	-0.00298
-0.14057	-0.00183
-0.14127	-0.12498
-0.2035	0.08296
-0.26612	0.02171
-0.26439	0.14207
-0.14099	0.14354
-0.14193	0.02293
-0.20338	0.21345
-0.2657	0.1534
-0.26361	0.27095
-0.14128	0.27268
-0.14241	0.1549
-0.33864	-0.12921
-0.40107	-0.19181
-0.3994	-0.06855
-0.27598	-0.06689
-0.27714	-0.19061
-0.33894	0.01811
-0.40133	-0.04376
-0.39901	0.07729
-0.27643	0.07949
-0.27806	-0.042
-0.34003	0.14753
-0.40227	0.0866
-0.39939	0.20514
-0.27776	0.2078
-0.27979	0.08886
0.06784	-0.03653
0.00522	-0.0981
0.0052	0.02475
0.13003	0.02435
0.13072	-0.09842
0.0678	0.10972
0.00565	0.04944
0.00561	0.16964
0.12943	0.16913
0.13033	0.04902
0.06769	0.24053
0.00606	0.1817
0.00601	0.29895
0.12872	0.29835
0.12979	0.18118
0.2034	-0.0636
0.14127	-0.12498
0.14057	-0.00183
0.26492	-0.00298
0.26624	-0.12585
0.2035	0.08296
0.14193	0.02293
0.14099	0.14354
0.26439	0.14207
0.26612	0.02171
0.20338	0.21345
0.14241	0.1549
0.14128	0.27268
0.26361	0.27095
0.2657	0.1534
0.33864	-0.12921
0.27714	-0.19061
0.27598	-0.06689
0.3994	-0.06855
0.40107	-0.19181
0.33894	0.01811
0.27806	-0.042
0.27643	0.07949
0.39901	0.07729
0.40133	-0.04376
0.34003	0.14753
0.27979	0.08886
0.27776	0.2078
0.39939	0.20514
0.40227	0.0866
